endTime,artistName,trackName,msPlayed,track_id
2020-06-27 10:41,Phoebe Bridgers,Moon Song,26096,6sALLrBPX30ptG1HWH6vmW
2020-06-27 10:43,Phoebe Bridgers,Chinese Satellite,157653,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 10:50,Phoebe Bridgers,I Know The End,380711,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 10:53,Phoebe Bridgers,Punisher,189622,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 18:07,Phoebe Bridgers,Chinese Satellite,5596,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 18:07,Phoebe Bridgers,Motion Sickness,21432,6LxcPUqx6noURdA5qc4BAT
2020-06-27 18:10,Phoebe Bridgers,I Know The End,205612,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 18:16,Phoebe Bridgers,Chinese Satellite,201595,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 18:18,Phoebe Bridgers,Chinese Satellite,36165,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 18:18,Phoebe Bridgers,Halloween,111838,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-27 18:22,Phoebe Bridgers,ICU,190093,38KCyQcBswyAd7xSQnDIU4
2020-06-27 18:26,Phoebe Bridgers,Graceland Too,236350,44spdItKKM7rOtKswbBG0U
2020-06-27 18:33,Phoebe Bridgers,I Know The End,253565,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 20:13,Phoebe Bridgers,I Know The End,8053,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 20:15,Phoebe Bridgers,DVD Menu,69931,6Tz8qANEIf4aCGEEjcxgKg
2020-06-27 20:18,Phoebe Bridgers,Garden Song,219682,5uQRmdIqyMmKPWJcot4UmV
2020-06-27 20:21,Phoebe Bridgers,Kyoto,184524,49UDOG8DoBajXTJSTqfRMg
2020-06-27 20:25,Phoebe Bridgers,Punisher,189622,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 20:29,Phoebe Bridgers,Halloween,271267,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-27 20:33,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 20:37,Phoebe Bridgers,Moon Song,277677,6sALLrBPX30ptG1HWH6vmW
2020-06-27 20:41,Phoebe Bridgers,Savior Complex,241640,4BNew3AqFCvABdFsYMRiyB
2020-06-27 20:45,Phoebe Bridgers,ICU,190093,38KCyQcBswyAd7xSQnDIU4
2020-06-27 20:49,Phoebe Bridgers,Graceland Too,236350,44spdItKKM7rOtKswbBG0U
2020-06-27 20:54,Phoebe Bridgers,I Know The End,344693,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 22:32,Phoebe Bridgers,Garden Song,1114,5uQRmdIqyMmKPWJcot4UmV
2020-06-27 22:32,Phoebe Bridgers,DVD Menu,2414,6Tz8qANEIf4aCGEEjcxgKg
2020-06-27 22:35,Phoebe Bridgers,Punisher,5298,7yR6GEJsPI6kmNRvFkPuN3
2020-06-27 22:35,Phoebe Bridgers,Kyoto,184524,49UDOG8DoBajXTJSTqfRMg
2020-06-27 22:35,Phoebe Bridgers,Halloween,1230,7FQ2JgfdkBcBb3BEbu8Axf
2020-06-27 22:38,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-27 22:39,Phoebe Bridgers,Moon Song,6236,6sALLrBPX30ptG1HWH6vmW
2020-06-27 22:39,Phoebe Bridgers,Savior Complex,3645,4BNew3AqFCvABdFsYMRiyB
2020-06-27 22:42,Phoebe Bridgers,ICU,190093,38KCyQcBswyAd7xSQnDIU4
2020-06-27 22:46,Phoebe Bridgers,Graceland Too,236350,44spdItKKM7rOtKswbBG0U
2020-06-27 22:51,Phoebe Bridgers,I Know The End,344692,3cr3oAP4bQFNjZBV7ElKaB
2020-06-27 22:55,Phoebe Bridgers,Chelsea,202710,6AMCwULN3JLU9G64T5cRyW
2020-06-27 22:59,Christian Lee Hutson,Lose This Number,236813,3g8nKpXsQtXv0lcN4UGVGs
2020-06-28 05:35,Christian Lee Hutson,Get The Old Band Back Together,55815,4ol42txnhVL5GEHOKaGS4u
2020-06-28 05:39,Phoebe Bridgers,Chinese Satellite,217070,60zlkOrTCHjpRTd1g6PI5y
2020-06-28 05:40,Phoebe Bridgers,Moon Song,72274,6sALLrBPX30ptG1HWH6vmW
2020-06-28 05:40,Phoebe Bridgers,ICU,1066,38KCyQcBswyAd7xSQnDIU4
2020-06-28 05:40,Phoebe Bridgers,Graceland Too,960,44spdItKKM7rOtKswbBG0U
2020-06-28 05:40,Phoebe Bridgers,Savior Complex,853,4BNew3AqFCvABdFsYMRiyB
2020-06-28 05:45,Phoebe Bridgers,I Know The End,309952,3cr3oAP4bQFNjZBV7ElKaB
2020-06-28 21:34,Phoebe Bridgers,I Know The End,214379,3cr3oAP4bQFNjZBV7ElKaB
2020-06-28 21:36,Phoebe Bridgers,Friday I’m In Love - Recorded at Spotify Studios NYC,3029,07vS8obfeZbr8H4MgQfXR7
2020-06-28 23:18,Phoebe Bridgers,DVD Menu,69931,6Tz8qANEIf4aCGEEjcxgKg
2020-06-28 23:22,Phoebe Bridgers,Garden Song,219681,5uQRmdIqyMmKPWJcot4UmV
2020-06-28 23:25,Phoebe Bridgers,Kyoto,184524,49UDOG8DoBajXTJSTqfRMg
2020-06-28 23:28,Phoebe Bridgers,Punisher,189622,7yR6GEJsPI6kmNRvFkPuN3
2020-06-28 23:33,Phoebe Bridgers,Halloween,271266,7FQ2JgfdkBcBb3BEbu8Axf
